n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
2500,50,0.5,2.73,2,0.25,0.01,0.0125,500,50,0.9948,0.565,0.1869,0.66613
3400,50,0.5,2.73,2,0.25,0.01,0.0125,500,68,0.9984,0.5915,0.15797,0.66051
4200,50,0.5,2.73,2,0.25,0.01,0.0125,500,84,1,0.573,0.14026,0.65415
5000,50,0.5,2.73,2,0.25,0.01,0.0125,500,100,1,0.5895,0.12754,0.64798
5900,50,0.5,2.73,2,0.25,0.01,0.0125,500,118,1,0.5865,0.1166,0.64649
6700,50,0.5,2.73,2,0.25,0.01,0.0125,500,134,1,0.59,0.10915,0.65005
400,100,0.5,2.73,2,0.25,0.01,0.0125,500,4,0.7356,0.604,0.62583,0.67111
800,100,0.5,2.73,2,0.25,0.01,0.0125,500,8,0.88,0.7515,0.38254,0.54993
1300,100,0.5,2.73,2,0.25,0.01,0.0125,500,13,0.9424,0.807,0.28091,0.50351
1700,100,0.5,2.73,2,0.25,0.01,0.0125,500,17,0.9708,0.835,0.23805,0.48185
2500,100,0.5,2.73,2,0.25,0.01,0.0125,500,25,0.992,0.8685,0.18946,0.45787
3400,100,0.5,2.73,2,0.25,0.01,0.0125,500,34,0.9988,0.8695,0.15928,0.44765
4200,100,0.5,2.73,2,0.25,0.01,0.0125,500,42,1,0.8805,0.1411,0.43589
5000,100,0.5,2.73,2,0.25,0.01,0.0125,500,50,1,0.8865,0.1285,0.43922
5900,100,0.5,2.73,2,0.25,0.01,0.0125,500,59,1,0.885,0.11733,0.43482
6700,100,0.5,2.73,2,0.25,0.01,0.0125,500,67,1,0.892,0.10973,0.43258
