n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
1300,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,13,0.88,0.3,0.2316,0.43478
1700,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,17,0.88,0.35,0.201,0.44842
2500,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,25,0.96,0.4,0.1637,0.47645
3400,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,34,1,0.25,0.13691,0.45146
4200,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,42,0.96,0.5,0.12412,0.43443
5000,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,50,1,0.35,0.11094,0.45077
5900,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,59,0.96,0.4,0.10005,0.45724
6700,100,0.5,2.73,1.5,0.25,0.01,0.0125,5,67,1,0.4,0.09583,0.45282
400,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,16,0.68,0.25,0.53656,1.19844
800,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,32,0.96,0.15,0.32643,1.10737
1300,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,52,0.92,0.1,0.25243,1.18167
1700,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,68,0.92,0.25,0.21201,1.13351
2500,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,100,0.96,0.25,0.18349,1.17083
3400,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,136,1,0.25,0.14193,1.01619
4200,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,168,1,0.2,0.13208,0.88275
5000,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,200,1,0.2,0.11905,0.92253
5900,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,236,1,0.2,0.10635,0.98937
6700,25,0.5,2.73,1.75,0.25,0.01,0.0125,5,268,1,0.2,0.10457,1.08466
400,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,8,0.6,0.3,0.53064,0.82375
800,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,16,0.88,0.25,0.33433,0.73449
1300,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,26,0.96,0.45,0.24671,0.63537
1700,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,34,0.96,0.2,0.21361,0.68221
2500,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,50,1,0.35,0.17413,0.67938
3400,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,68,0.96,0.35,0.1461,0.68422
4200,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,84,1,0.5,0.13214,0.64955
5000,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,100,1,0.4,0.11742,0.69231
5900,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,118,1,0.45,0.11029,0.68122
6700,50,0.5,2.73,1.75,0.25,0.01,0.0125,5,134,1,0.4,0.10167,0.68335
400,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,4,0.6,0.25,0.52421,0.55579
800,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,8,0.92,0.6,0.34158,0.50735
1300,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,13,0.88,0.5,0.25306,0.4963
1700,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,17,0.88,0.7,0.21904,0.44241
2500,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,25,0.92,0.6,0.17428,0.47039
3400,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,34,1,0.7,0.14738,0.42201
4200,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,42,1,0.5,0.12998,0.46563
5000,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,50,1,0.8,0.11738,0.39963
5900,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,59,1,0.75,0.11045,0.44518
6700,100,0.5,2.73,1.75,0.25,0.01,0.0125,5,67,1,0.65,0.10062,0.41815
400,25,0.5,2.73,2,0.25,0.01,0.0125,5,16,0.76,0.25,0.61679,1.38178
800,25,0.5,2.73,2,0.25,0.01,0.0125,5,32,0.92,0.3,0.36314,1.07775
1300,25,0.5,2.73,2,0.25,0.01,0.0125,5,52,0.96,0.2,0.25584,1.03191
1700,25,0.5,2.73,2,0.25,0.01,0.0125,5,68,0.96,0.2,0.22893,0.92624
2500,25,0.5,2.73,2,0.25,0.01,0.0125,5,100,1,0.3,0.18407,0.90816
3400,25,0.5,2.73,2,0.25,0.01,0.0125,5,136,1,0.3,0.15992,1.15905
4200,25,0.5,2.73,2,0.25,0.01,0.0125,5,168,1,0.25,0.13763,1.01302
5000,25,0.5,2.73,2,0.25,0.01,0.0125,5,200,1,0.15,0.13021,1.20776
5900,25,0.5,2.73,2,0.25,0.01,0.0125,5,236,1,0.25,0.116,1.08454
6700,25,0.5,2.73,2,0.25,0.01,0.0125,5,268,1,0.3,0.11026,0.84726
400,50,0.5,2.73,2,0.25,0.01,0.0125,5,8,0.72,0.35,0.60013,0.8319
800,50,0.5,2.73,2,0.25,0.01,0.0125,5,16,0.88,0.5,0.36189,0.68306
1300,50,0.5,2.73,2,0.25,0.01,0.0125,5,26,0.96,0.5,0.28064,0.78429
1700,50,0.5,2.73,2,0.25,0.01,0.0125,5,34,0.96,0.55,0.22986,0.635
2500,50,0.5,2.73,2,0.25,0.01,0.0125,5,50,1,0.5,0.18783,0.70249
3400,50,0.5,2.73,2,0.25,0.01,0.0125,5,68,1,0.55,0.15915,0.76267
4200,50,0.5,2.73,2,0.25,0.01,0.0125,5,84,1,0.6,0.13468,0.57589
5000,50,0.5,2.73,2,0.25,0.01,0.0125,5,100,1,0.55,0.12642,0.70283
5900,50,0.5,2.73,2,0.25,0.01,0.0125,5,118,1,0.45,0.11551,0.66037
6700,50,0.5,2.73,2,0.25,0.01,0.0125,5,134,1,0.6,0.10724,0.60258
400,100,0.5,2.73,2,0.25,0.01,0.0125,5,4,0.76,0.55,0.59207,0.63447
800,100,0.5,2.73,2,0.25,0.01,0.0125,5,8,0.88,0.65,0.37261,0.55176
1300,100,0.5,2.73,2,0.25,0.01,0.0125,5,13,0.96,0.75,0.27792,0.51451
1700,100,0.5,2.73,2,0.25,0.01,0.0125,5,17,1,0.8,0.24167,0.48932
2500,100,0.5,2.73,2,0.25,0.01,0.0125,5,25,1,0.95,0.18836,0.46129
3400,100,0.5,2.73,2,0.25,0.01,0.0125,5,34,1,0.8,0.15664,0.45517
4200,100,0.5,2.73,2,0.25,0.01,0.0125,5,42,1,0.9,0.13779,0.37437
5000,100,0.5,2.73,2,0.25,0.01,0.0125,5,50,1,0.75,0.12846,0.47939
5900,100,0.5,2.73,2,0.25,0.01,0.0125,5,59,1,0.85,0.11533,0.40803
6700,100,0.5,2.73,2,0.25,0.01,0.0125,5,67,1,0.95,0.11004,0.45348
