n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,n.real,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
1300,24,0.5,2.73,1.25,0.25,0.01,0.0125,500,55,1320,0.5352,0.0685,0.20975,1.06861
1400,24,0.5,2.73,1.25,0.25,0.01,0.0125,500,59,1416,0.5756,0.054,0.20199,1.06294
800,26,0.5,2.73,1.25,0.25,0.01,0.0125,500,31,806,0.3256,0.051,0.27977,1.03523
900,26,0.5,2.73,1.25,0.25,0.01,0.0125,500,35,910,0.3792,0.057,0.26037,1.03102
1000,26,0.5,2.73,1.25,0.25,0.01,0.0125,500,39,1014,0.4048,0.065,0.24495,1.01227
1100,26,0.5,2.73,1.25,0.25,0.01,0.0125,500,43,1118,0.456,0.0655,0.23162,1.01253
1100,26,0.5,2.73,1.25,0.25,0.01,0.0125,500,43,1118,0.4728,0.0525,0.23186,1.03871
1200,26,0.5,2.73,1.25,0.25,0.01,0.0125,500,47,1222,0.5212,0.067,0.2193,0.9891
1300,26,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,1300,0.5376,0.068,0.2124,1.00106
1300,26,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,1300,0.5212,0.057,0.21295,1.04286
1400,26,0.5,2.73,1.25,0.25,0.01,0.0125,500,54,1404,0.5628,0.0625,0.20295,1.00289
800,28,0.5,2.73,1.25,0.25,0.01,0.0125,500,29,812,0.3092,0.0545,0.28025,1.00391
900,28,0.5,2.73,1.25,0.25,0.01,0.0125,500,33,924,0.374,0.0705,0.25894,0.99788
1000,28,0.5,2.73,1.25,0.25,0.01,0.0125,500,36,1008,0.4112,0.054,0.24638,0.98711
1100,28,0.5,2.73,1.25,0.25,0.01,0.0125,500,40,1120,0.4556,0.057,0.23176,0.99091
1100,28,0.5,2.73,1.25,0.25,0.01,0.0125,500,40,1120,0.4476,0.056,0.23213,0.98187
1200,28,0.5,2.73,1.25,0.25,0.01,0.0125,500,43,1204,0.484,0.058,0.22175,0.96475
1300,28,0.5,2.73,1.25,0.25,0.01,0.0125,500,47,1316,0.5388,0.065,0.21014,0.94608
1300,28,0.5,2.73,1.25,0.25,0.01,0.0125,500,47,1316,0.526,0.0615,0.21155,0.96831
1400,28,0.5,2.73,1.25,0.25,0.01,0.0125,500,50,1400,0.5624,0.061,0.20417,0.96883
800,30,0.5,2.73,1.25,0.25,0.01,0.0125,500,27,810,0.318,0.058,0.27998,0.9478
900,30,0.5,2.73,1.25,0.25,0.01,0.0125,500,30,900,0.3516,0.0515,0.26386,0.95757
1000,30,0.5,2.73,1.25,0.25,0.01,0.0125,500,34,1020,0.418,0.0645,0.24473,0.94133
1100,30,0.5,2.73,1.25,0.25,0.01,0.0125,500,37,1110,0.4392,0.058,0.23288,0.93868
1100,30,0.5,2.73,1.25,0.25,0.01,0.0125,500,37,1110,0.4564,0.063,0.23372,0.94638
1200,30,0.5,2.73,1.25,0.25,0.01,0.0125,500,40,1200,0.4904,0.057,0.22163,0.92061
1300,30,0.5,2.73,1.25,0.25,0.01,0.0125,500,44,1320,0.5464,0.0615,0.21036,0.91655
1300,30,0.5,2.73,1.25,0.25,0.01,0.0125,500,44,1320,0.5284,0.0745,0.21121,0.92735
1400,30,0.5,2.73,1.25,0.25,0.01,0.0125,500,47,1410,0.5716,0.0545,0.20241,0.91175
800,20,0.5,2.73,1.5,0.25,0.01,0.0125,500,40,800,0.7508,0.1135,0.30546,1.2751
900,20,0.5,2.73,1.5,0.25,0.01,0.0125,500,45,900,0.792,0.132,0.28438,1.22081
1000,20,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,1000,0.8184,0.1115,0.26725,1.25154
1100,20,0.5,2.73,1.5,0.25,0.01,0.0125,500,55,1100,0.826,0.1035,0.25268,1.25036
1100,20,0.5,2.73,1.5,0.25,0.01,0.0125,500,55,1100,0.8328,0.132,0.25245,1.24813
1200,20,0.5,2.73,1.5,0.25,0.01,0.0125,500,60,1200,0.8472,0.1245,0.24054,1.2141
1300,20,0.5,2.73,1.5,0.25,0.01,0.0125,500,65,1300,0.8624,0.1255,0.22879,1.20746
1300,20,0.5,2.73,1.5,0.25,0.01,0.0125,500,65,1300,0.8532,0.13,0.22869,1.20558
1400,20,0.5,2.73,1.5,0.25,0.01,0.0125,500,70,1400,0.864,0.1285,0.21865,1.22019
800,22,0.5,2.73,1.5,0.25,0.01,0.0125,500,37,814,0.7664,0.1265,0.30245,1.17783
900,22,0.5,2.73,1.5,0.25,0.01,0.0125,500,41,902,0.8,0.135,0.28446,1.16836
1000,22,0.5,2.73,1.5,0.25,0.01,0.0125,500,46,1012,0.8224,0.1285,0.26515,1.17135
1100,22,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,1100,0.8328,0.1295,0.25223,1.14985
1100,22,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,1100,0.8336,0.116,0.253,1.17231
1200,22,0.5,2.73,1.5,0.25,0.01,0.0125,500,55,1210,0.8516,0.138,0.23981,1.1492
1300,22,0.5,2.73,1.5,0.25,0.01,0.0125,500,60,1320,0.8624,0.1245,0.22707,1.14152
1300,22,0.5,2.73,1.5,0.25,0.01,0.0125,500,60,1320,0.8652,0.1255,0.22708,1.13699
1400,22,0.5,2.73,1.5,0.25,0.01,0.0125,500,64,1408,0.8668,0.1255,0.21993,1.14013
800,24,0.5,2.73,1.5,0.25,0.01,0.0125,500,34,816,0.7724,0.138,0.30218,1.10303
900,24,0.5,2.73,1.5,0.25,0.01,0.0125,500,38,912,0.8008,0.125,0.28291,1.1146
1000,24,0.5,2.73,1.5,0.25,0.01,0.0125,500,42,1008,0.8168,0.122,0.26666,1.11225
1100,24,0.5,2.73,1.5,0.25,0.01,0.0125,500,46,1104,0.836,0.127,0.25234,1.06957
1100,24,0.5,2.73,1.5,0.25,0.01,0.0125,500,46,1104,0.8316,0.1355,0.25217,1.08468
1200,24,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,1200,0.846,0.14,0.24032,1.07224
1300,24,0.5,2.73,1.5,0.25,0.01,0.0125,500,55,1320,0.8576,0.1145,0.22736,1.07225
1300,24,0.5,2.73,1.5,0.25,0.01,0.0125,500,55,1320,0.8628,0.121,0.22751,1.0799
1400,24,0.5,2.73,1.5,0.25,0.01,0.0125,500,59,1416,0.8652,0.132,0.21771,1.03466
800,26,0.5,2.73,1.5,0.25,0.01,0.0125,500,31,806,0.7508,0.1285,0.30485,1.06025
900,26,0.5,2.73,1.5,0.25,0.01,0.0125,500,35,910,0.7896,0.1265,0.28386,1.02957
1000,26,0.5,2.73,1.5,0.25,0.01,0.0125,500,39,1014,0.8212,0.1245,0.26525,1.01512
1100,26,0.5,2.73,1.5,0.25,0.01,0.0125,500,43,1118,0.8368,0.1155,0.25024,1.04155
1100,26,0.5,2.73,1.5,0.25,0.01,0.0125,500,43,1118,0.8408,0.1315,0.25064,1.02582
1200,26,0.5,2.73,1.5,0.25,0.01,0.0125,500,47,1222,0.8428,0.12,0.23825,1.03521
1300,26,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,1300,0.8552,0.124,0.23059,1.04589
1300,26,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,1300,0.8504,0.119,0.22965,1.03449
1400,26,0.5,2.73,1.5,0.25,0.01,0.0125,500,54,1404,0.8684,0.1295,0.21964,1.00743
800,28,0.5,2.73,1.5,0.25,0.01,0.0125,500,29,812,0.7624,0.143,0.30189,0.98497
900,28,0.5,2.73,1.5,0.25,0.01,0.0125,500,33,924,0.7796,0.124,0.28063,1.01456
1000,28,0.5,2.73,1.5,0.25,0.01,0.0125,500,36,1008,0.8224,0.124,0.26644,0.98447
1100,28,0.5,2.73,1.5,0.25,0.01,0.0125,500,40,1120,0.8392,0.1205,0.2511,1.00069
1100,28,0.5,2.73,1.5,0.25,0.01,0.0125,500,40,1120,0.834,0.1165,0.25049,1.00305
1200,28,0.5,2.73,1.5,0.25,0.01,0.0125,500,43,1204,0.8536,0.1395,0.23915,0.95592
1300,28,0.5,2.73,1.5,0.25,0.01,0.0125,500,47,1316,0.8664,0.1285,0.22755,0.97835
1300,28,0.5,2.73,1.5,0.25,0.01,0.0125,500,47,1316,0.852,0.1415,0.22881,0.97644
1400,28,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,1400,0.8532,0.1295,0.22012,0.98185
800,30,0.5,2.73,1.5,0.25,0.01,0.0125,500,27,810,0.7584,0.131,0.30558,0.98077
900,30,0.5,2.73,1.5,0.25,0.01,0.0125,500,30,900,0.7912,0.127,0.28492,0.94622
1000,30,0.5,2.73,1.5,0.25,0.01,0.0125,500,34,1020,0.8216,0.143,0.26531,0.94661
1100,30,0.5,2.73,1.5,0.25,0.01,0.0125,500,37,1110,0.832,0.1355,0.2515,0.93071
1100,30,0.5,2.73,1.5,0.25,0.01,0.0125,500,37,1110,0.8364,0.13,0.25257,0.96022
1200,30,0.5,2.73,1.5,0.25,0.01,0.0125,500,40,1200,0.8404,0.144,0.24135,0.93287
1300,30,0.5,2.73,1.5,0.25,0.01,0.0125,500,44,1320,0.854,0.1275,0.22812,0.93231
1300,30,0.5,2.73,1.5,0.25,0.01,0.0125,500,44,1320,0.8612,0.135,0.22861,0.94299
1400,30,0.5,2.73,1.5,0.25,0.01,0.0125,500,47,1410,0.8536,0.144,0.21942,0.92427
800,20,0.5,2.73,1.75,0.25,0.01,0.0125,500,40,800,0.8584,0.1815,0.33316,1.284
900,20,0.5,2.73,1.75,0.25,0.01,0.0125,500,45,900,0.8704,0.204,0.31027,1.28278
1000,20,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,1000,0.886,0.203,0.29032,1.2385
1100,20,0.5,2.73,1.75,0.25,0.01,0.0125,500,55,1100,0.8884,0.1855,0.27454,1.24343
1100,20,0.5,2.73,1.75,0.25,0.01,0.0125,500,55,1100,0.8872,0.1885,0.27606,1.24978
1200,20,0.5,2.73,1.75,0.25,0.01,0.0125,500,60,1200,0.9056,0.2055,0.26075,1.22366
1300,20,0.5,2.73,1.75,0.25,0.01,0.0125,500,65,1300,0.9084,0.196,0.24965,1.2025
1300,20,0.5,2.73,1.75,0.25,0.01,0.0125,500,65,1300,0.9108,0.1985,0.2488,1.20731
1400,20,0.5,2.73,1.75,0.25,0.01,0.0125,500,70,1400,0.9248,0.1865,0.23797,1.19152
800,22,0.5,2.73,1.75,0.25,0.01,0.0125,500,37,814,0.8636,0.194,0.33041,1.21202
900,22,0.5,2.73,1.75,0.25,0.01,0.0125,500,41,902,0.8628,0.182,0.30859,1.19214
1000,22,0.5,2.73,1.75,0.25,0.01,0.0125,500,46,1012,0.884,0.196,0.28841,1.15853
1100,22,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,1100,0.896,0.207,0.27428,1.14188
1100,22,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,1100,0.896,0.21,0.27413,1.14201
1200,22,0.5,2.73,1.75,0.25,0.01,0.0125,500,55,1210,0.9064,0.215,0.25896,1.14989
1300,22,0.5,2.73,1.75,0.25,0.01,0.0125,500,60,1320,0.9132,0.203,0.2472,1.15803
1300,22,0.5,2.73,1.75,0.25,0.01,0.0125,500,60,1320,0.9216,0.227,0.24777,1.12966
1400,22,0.5,2.73,1.75,0.25,0.01,0.0125,500,64,1408,0.9208,0.196,0.23713,1.13588
800,24,0.5,2.73,1.75,0.25,0.01,0.0125,500,34,816,0.8556,0.2075,0.32715,1.09999
900,24,0.5,2.73,1.75,0.25,0.01,0.0125,500,38,912,0.8728,0.197,0.30886,1.11945
1000,24,0.5,2.73,1.75,0.25,0.01,0.0125,500,42,1008,0.8828,0.2025,0.29044,1.12432
1100,24,0.5,2.73,1.75,0.25,0.01,0.0125,500,46,1104,0.8992,0.217,0.27534,1.11706
1100,24,0.5,2.73,1.75,0.25,0.01,0.0125,500,46,1104,0.8868,0.215,0.274,1.10159
1200,24,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,1200,0.9088,0.222,0.26038,1.08782
1300,24,0.5,2.73,1.75,0.25,0.01,0.0125,500,55,1320,0.922,0.2205,0.24719,1.06766
1300,24,0.5,2.73,1.75,0.25,0.01,0.0125,500,55,1320,0.912,0.2345,0.24697,1.07325
1400,24,0.5,2.73,1.75,0.25,0.01,0.0125,500,59,1416,0.9264,0.212,0.23776,1.09468
800,26,0.5,2.73,1.75,0.25,0.01,0.0125,500,31,806,0.8684,0.2275,0.33226,1.07479
900,26,0.5,2.73,1.75,0.25,0.01,0.0125,500,35,910,0.8692,0.217,0.30835,1.0565
1000,26,0.5,2.73,1.75,0.25,0.01,0.0125,500,39,1014,0.8868,0.2245,0.28961,1.07237
1100,26,0.5,2.73,1.75,0.25,0.01,0.0125,500,43,1118,0.8956,0.216,0.27292,1.04799
1100,26,0.5,2.73,1.75,0.25,0.01,0.0125,500,43,1118,0.8988,0.2055,0.27196,1.0442
1200,26,0.5,2.73,1.75,0.25,0.01,0.0125,500,47,1222,0.908,0.232,0.2588,1.02413
1300,26,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,1300,0.904,0.2375,0.25048,1.04015
1300,26,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,1300,0.9084,0.2235,0.24969,1.04463
1400,26,0.5,2.73,1.75,0.25,0.01,0.0125,500,54,1404,0.9208,0.222,0.23877,1.03291
800,28,0.5,2.73,1.75,0.25,0.01,0.0125,500,29,812,0.8608,0.239,0.33204,1.01055
900,28,0.5,2.73,1.75,0.25,0.01,0.0125,500,33,924,0.8768,0.2265,0.306,1.00267
1000,28,0.5,2.73,1.75,0.25,0.01,0.0125,500,36,1008,0.8832,0.2275,0.29049,1.00492
1100,28,0.5,2.73,1.75,0.25,0.01,0.0125,500,40,1120,0.8944,0.2255,0.27297,1.00705
1100,28,0.5,2.73,1.75,0.25,0.01,0.0125,500,40,1120,0.8928,0.219,0.27229,1.0023
1200,28,0.5,2.73,1.75,0.25,0.01,0.0125,500,43,1204,0.9132,0.2315,0.26121,0.99721
1300,28,0.5,2.73,1.75,0.25,0.01,0.0125,500,47,1316,0.9088,0.238,0.24801,0.97558
1300,28,0.5,2.73,1.75,0.25,0.01,0.0125,500,47,1316,0.9084,0.224,0.24886,0.9996
1400,28,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,1400,0.9216,0.242,0.23935,0.98005
800,30,0.5,2.73,1.75,0.25,0.01,0.0125,500,27,810,0.8648,0.219,0.3307,0.97448
900,30,0.5,2.73,1.75,0.25,0.01,0.0125,500,30,900,0.8628,0.2515,0.30959,0.9509
1000,30,0.5,2.73,1.75,0.25,0.01,0.0125,500,34,1020,0.8852,0.2405,0.28877,0.96742
1100,30,0.5,2.73,1.75,0.25,0.01,0.0125,500,37,1110,0.8968,0.24,0.27542,0.96944
1100,30,0.5,2.73,1.75,0.25,0.01,0.0125,500,37,1110,0.8944,0.2365,0.27457,0.95842
1200,30,0.5,2.73,1.75,0.25,0.01,0.0125,500,40,1200,0.9004,0.2345,0.26192,0.94361
1300,30,0.5,2.73,1.75,0.25,0.01,0.0125,500,44,1320,0.9072,0.2315,0.24741,0.94721
1300,30,0.5,2.73,1.75,0.25,0.01,0.0125,500,44,1320,0.9104,0.2475,0.24746,0.92846
1400,30,0.5,2.73,1.75,0.25,0.01,0.0125,500,47,1410,0.9148,0.25,0.23995,0.95708
800,20,0.5,2.73,2,0.25,0.01,0.0125,500,40,800,0.8948,0.2535,0.35998,1.29007
900,20,0.5,2.73,2,0.25,0.01,0.0125,500,45,900,0.9012,0.273,0.335,1.2736
1000,20,0.5,2.73,2,0.25,0.01,0.0125,500,50,1000,0.9188,0.2725,0.31378,1.22914
1100,20,0.5,2.73,2,0.25,0.01,0.0125,500,55,1100,0.9276,0.268,0.29592,1.23064
1100,20,0.5,2.73,2,0.25,0.01,0.0125,500,55,1100,0.9248,0.272,0.29694,1.23255
1200,20,0.5,2.73,2,0.25,0.01,0.0125,500,60,1200,0.9416,0.266,0.2825,1.25652
1300,20,0.5,2.73,2,0.25,0.01,0.0125,500,65,1300,0.9456,0.276,0.26973,1.23574
1300,20,0.5,2.73,2,0.25,0.01,0.0125,500,65,1300,0.9448,0.281,0.26914,1.23832
1400,20,0.5,2.73,2,0.25,0.01,0.0125,500,70,1400,0.9516,0.279,0.25866,1.21902
800,22,0.5,2.73,2,0.25,0.01,0.0125,500,37,814,0.8956,0.287,0.35655,1.20949
900,22,0.5,2.73,2,0.25,0.01,0.0125,500,41,902,0.9072,0.285,0.33622,1.20274
1000,22,0.5,2.73,2,0.25,0.01,0.0125,500,46,1012,0.9172,0.299,0.31322,1.18416
1100,22,0.5,2.73,2,0.25,0.01,0.0125,500,50,1100,0.926,0.272,0.29559,1.17161
1100,22,0.5,2.73,2,0.25,0.01,0.0125,500,50,1100,0.926,0.2875,0.2979,1.18055
1200,22,0.5,2.73,2,0.25,0.01,0.0125,500,55,1210,0.9372,0.297,0.27984,1.15285
1300,22,0.5,2.73,2,0.25,0.01,0.0125,500,60,1320,0.948,0.2855,0.26693,1.15974
1300,22,0.5,2.73,2,0.25,0.01,0.0125,500,60,1320,0.9456,0.297,0.26642,1.14781
1400,22,0.5,2.73,2,0.25,0.01,0.0125,500,64,1408,0.958,0.2995,0.25859,1.16033
800,24,0.5,2.73,2,0.25,0.01,0.0125,500,34,816,0.8932,0.2985,0.35498,1.12144
900,24,0.5,2.73,2,0.25,0.01,0.0125,500,38,912,0.9056,0.304,0.33284,1.13104
1000,24,0.5,2.73,2,0.25,0.01,0.0125,500,42,1008,0.9132,0.2955,0.31543,1.13869
1100,24,0.5,2.73,2,0.25,0.01,0.0125,500,46,1104,0.9296,0.3225,0.29786,1.11977
1100,24,0.5,2.73,2,0.25,0.01,0.0125,500,46,1104,0.9224,0.307,0.29591,1.08975
1200,24,0.5,2.73,2,0.25,0.01,0.0125,500,50,1200,0.938,0.3205,0.2821,1.09874
1300,24,0.5,2.73,2,0.25,0.01,0.0125,500,55,1320,0.9452,0.315,0.26734,1.099
1300,24,0.5,2.73,2,0.25,0.01,0.0125,500,55,1320,0.9468,0.303,0.26827,1.11339
1400,24,0.5,2.73,2,0.25,0.01,0.0125,500,59,1416,0.96,0.3085,0.25602,1.08899
800,26,0.5,2.73,2,0.25,0.01,0.0125,500,31,806,0.8928,0.311,0.36061,1.07577
900,26,0.5,2.73,2,0.25,0.01,0.0125,500,35,910,0.8976,0.3195,0.33402,1.06402
1000,26,0.5,2.73,2,0.25,0.01,0.0125,500,39,1014,0.908,0.3045,0.31321,1.06268
1100,26,0.5,2.73,2,0.25,0.01,0.0125,500,43,1118,0.9332,0.3215,0.2949,1.0541
1100,26,0.5,2.73,2,0.25,0.01,0.0125,500,43,1118,0.9308,0.3045,0.29446,1.05301
1200,26,0.5,2.73,2,0.25,0.01,0.0125,500,47,1222,0.9364,0.321,0.27936,1.0634
1300,26,0.5,2.73,2,0.25,0.01,0.0125,500,50,1300,0.9448,0.331,0.27063,1.04734
1300,26,0.5,2.73,2,0.25,0.01,0.0125,500,50,1300,0.944,0.326,0.2701,1.03386
1400,26,0.5,2.73,2,0.25,0.01,0.0125,500,54,1404,0.952,0.335,0.25802,1.05036
800,28,0.5,2.73,2,0.25,0.01,0.0125,500,29,812,0.8936,0.33,0.35852,1.04242
900,28,0.5,2.73,2,0.25,0.01,0.0125,500,33,924,0.902,0.338,0.33125,1.01923
1000,28,0.5,2.73,2,0.25,0.01,0.0125,500,36,1008,0.9188,0.338,0.31438,1.00213
1100,28,0.5,2.73,2,0.25,0.01,0.0125,500,40,1120,0.9268,0.3355,0.29452,1.00046
1100,28,0.5,2.73,2,0.25,0.01,0.0125,500,40,1120,0.9236,0.3265,0.29535,1.01655
1200,28,0.5,2.73,2,0.25,0.01,0.0125,500,43,1204,0.9372,0.338,0.28196,0.98882
1300,28,0.5,2.73,2,0.25,0.01,0.0125,500,47,1316,0.9556,0.356,0.26706,0.98256
1300,28,0.5,2.73,2,0.25,0.01,0.0125,500,47,1316,0.9492,0.315,0.26977,1.01965
1400,28,0.5,2.73,2,0.25,0.01,0.0125,500,50,1400,0.9444,0.356,0.25833,0.99784
800,30,0.5,2.73,2,0.25,0.01,0.0125,500,27,810,0.8904,0.3435,0.3595,0.98695
900,30,0.5,2.73,2,0.25,0.01,0.0125,500,30,900,0.9024,0.3605,0.33828,0.97787
1000,30,0.5,2.73,2,0.25,0.01,0.0125,500,34,1020,0.916,0.3445,0.31272,0.97921
1100,30,0.5,2.73,2,0.25,0.01,0.0125,500,37,1110,0.924,0.361,0.29595,0.95595
1100,30,0.5,2.73,2,0.25,0.01,0.0125,500,37,1110,0.9244,0.3475,0.29837,0.98879
1200,30,0.5,2.73,2,0.25,0.01,0.0125,500,40,1200,0.9352,0.341,0.28248,0.97319
1300,30,0.5,2.73,2,0.25,0.01,0.0125,500,44,1320,0.9492,0.3745,0.26763,0.94174
1300,30,0.5,2.73,2,0.25,0.01,0.0125,500,44,1320,0.944,0.381,0.26978,0.95943
1400,30,0.5,2.73,2,0.25,0.01,0.0125,500,47,1410,0.9492,0.353,0.25676,0.93806
