n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
800,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,8,0.7312,0.3155,0.31878,0.50122
1300,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,13,0.8512,0.348,0.23658,0.47316
1700,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,17,0.8744,0.362,0.20254,0.46457
2500,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,25,0.9188,0.4,0.16182,0.44517
3400,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,34,0.9604,0.394,0.13647,0.43846
4200,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,42,0.9744,0.408,0.12147,0.43303
5000,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,50,0.9848,0.417,0.11046,0.42823
5900,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,59,0.9916,0.4205,0.10115,0.42534
6700,100,0.5,2.73,1.5,0.25,0.01,0.0125,500,67,0.996,0.4115,0.09458,0.42889
400,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,16,0.6832,0.1905,0.5187,1.19653
800,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,32,0.8548,0.1925,0.33332,1.10511
1300,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,52,0.9104,0.2195,0.24997,1.0709
1700,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,68,0.9448,0.226,0.21357,1.0401
2500,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,100,0.9816,0.2205,0.17211,1.01367
3400,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,136,0.9936,0.2495,0.14576,0.99868
4200,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,168,0.998,0.251,0.13007,1.00098
5000,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,200,1,0.227,0.1188,1.00351
5900,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,236,1,0.233,0.10814,0.98208
6700,25,0.5,2.73,1.75,0.25,0.01,0.0125,500,268,1,0.2305,0.10114,1.00421
400,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,8,0.6568,0.2865,0.53765,0.83056
800,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,16,0.85,0.3225,0.33857,0.73034
1300,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,26,0.9112,0.3695,0.25202,0.69204
1700,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,34,0.942,0.3745,0.21577,0.68325
2500,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,0.9708,0.3925,0.17348,0.67073
3400,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,68,0.9932,0.384,0.14651,0.65983
4200,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,84,0.9992,0.3775,0.13079,0.65845
5000,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,100,0.9996,0.389,0.11867,0.64825
5900,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,118,1,0.4285,0.10876,0.6408
6700,50,0.5,2.73,1.75,0.25,0.01,0.0125,500,134,1,0.389,0.10183,0.65029
400,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,4,0.6216,0.443,0.56377,0.62514
800,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,8,0.852,0.5695,0.35155,0.52913
1300,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,13,0.8988,0.614,0.25753,0.48528
1700,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,17,0.9388,0.639,0.21981,0.47133
2500,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,25,0.9744,0.659,0.17549,0.44918
3400,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,34,0.9932,0.6985,0.14784,0.44161
4200,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,42,0.9976,0.7025,0.13122,0.43601
5000,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,50,0.9996,0.689,0.11957,0.43576
5900,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,59,1,0.6935,0.10921,0.4311
6700,100,0.5,2.73,1.75,0.25,0.01,0.0125,500,67,1,0.709,0.1021,0.42906
400,25,0.5,2.73,2,0.25,0.01,0.0125,500,16,0.7844,0.272,0.56851,1.2183
800,25,0.5,2.73,2,0.25,0.01,0.0125,500,32,0.8928,0.2985,0.36088,1.11748
1300,25,0.5,2.73,2,0.25,0.01,0.0125,500,52,0.944,0.308,0.27048,1.09747
1700,25,0.5,2.73,2,0.25,0.01,0.0125,500,68,0.9712,0.3185,0.23143,1.05505
2500,25,0.5,2.73,2,0.25,0.01,0.0125,500,100,0.9924,0.3345,0.18596,1.00672
3400,25,0.5,2.73,2,0.25,0.01,0.0125,500,136,0.9992,0.33,0.15668,1.01597
4200,25,0.5,2.73,2,0.25,0.01,0.0125,500,168,1,0.327,0.13971,1.02017
5000,25,0.5,2.73,2,0.25,0.01,0.0125,500,200,1,0.348,0.1272,0.99552
5900,25,0.5,2.73,2,0.25,0.01,0.0125,500,236,1,0.343,0.11609,1.00111
6700,25,0.5,2.73,2,0.25,0.01,0.0125,500,268,1,0.3455,0.10899,0.98528
400,50,0.5,2.73,2,0.25,0.01,0.0125,500,8,0.7764,0.4125,0.59567,0.87047
800,50,0.5,2.73,2,0.25,0.01,0.0125,500,16,0.8904,0.494,0.36939,0.75762
1300,50,0.5,2.73,2,0.25,0.01,0.0125,500,26,0.9352,0.528,0.27355,0.71302
1700,50,0.5,2.73,2,0.25,0.01,0.0125,500,34,0.9676,0.551,0.23378,0.69939
2500,50,0.5,2.73,2,0.25,0.01,0.0125,500,50,0.9936,0.5695,0.187,0.67772
3400,50,0.5,2.73,2,0.25,0.01,0.0125,500,68,0.998,0.576,0.1582,0.66361
4200,50,0.5,2.73,2,0.25,0.01,0.0125,500,84,0.9996,0.5605,0.14012,0.65177
5000,50,0.5,2.73,2,0.25,0.01,0.0125,500,100,1,0.5985,0.12771,0.64779
5900,50,0.5,2.73,2,0.25,0.01,0.0125,500,118,1,0.587,0.11696,0.64748
6700,50,0.5,2.73,2,0.25,0.01,0.0125,500,134,1,0.59,0.10904,0.64618
400,100,0.5,2.73,2,0.25,0.01,0.0125,500,4,0.7412,0.5935,0.61764,0.66374
800,100,0.5,2.73,2,0.25,0.01,0.0125,500,8,0.884,0.7565,0.38227,0.5455
1300,100,0.5,2.73,2,0.25,0.01,0.0125,500,13,0.9344,0.8165,0.281,0.50168
1700,100,0.5,2.73,2,0.25,0.01,0.0125,500,17,0.968,0.8375,0.23724,0.47897
2500,100,0.5,2.73,2,0.25,0.01,0.0125,500,25,0.9936,0.857,0.18967,0.462
3400,100,0.5,2.73,2,0.25,0.01,0.0125,500,34,0.9992,0.863,0.15929,0.44934
4200,100,0.5,2.73,2,0.25,0.01,0.0125,500,42,1,0.876,0.14166,0.44274
5000,100,0.5,2.73,2,0.25,0.01,0.0125,500,50,1,0.887,0.12875,0.43858
5900,100,0.5,2.73,2,0.25,0.01,0.0125,500,59,1,0.8935,0.11755,0.43475
6700,100,0.5,2.73,2,0.25,0.01,0.0125,500,67,1,0.8865,0.10963,0.42989
