n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
6700,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,268,1,0.14,0.09578,1.01299
400,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,8,0.408,0.17,0.49155,0.80591
800,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,16,0.768,0.22,0.31132,0.71818
1300,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,26,0.84,0.22,0.23364,0.69098
1700,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,34,0.888,0.21,0.19842,0.6658
2500,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,50,0.944,0.18,0.16143,0.66534
3400,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,68,0.952,0.17,0.13666,0.68573
4200,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,84,0.976,0.22,0.12036,0.65485
5000,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,100,0.984,0.19,0.10849,0.62704
5900,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,118,1,0.23,0.09947,0.62127
6700,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,134,1,0.19,0.09325,0.65219
400,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,4,0.392,0.18,0.50037,0.5664
800,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,8,0.752,0.28,0.32225,0.5045
1300,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,13,0.84,0.37,0.2386,0.48032
1700,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,17,0.904,0.45,0.20098,0.44594
2500,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,25,0.912,0.36,0.16297,0.46163
3400,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,34,0.944,0.36,0.13663,0.44386
4200,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,42,0.976,0.36,0.12115,0.44522
5000,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,50,0.976,0.46,0.11139,0.43055
5900,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,59,0.992,0.47,0.10126,0.43325
6700,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,67,0.992,0.4,0.09471,0.43144
400,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,16,0.656,0.16,0.50747,1.16094
800,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,32,0.856,0.16,0.34166,1.14039
1300,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,52,0.896,0.19,0.25263,1.17133
1700,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,68,0.936,0.26,0.21468,1.10405
2500,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,100,0.984,0.2,0.17318,0.94471
3400,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,136,1,0.28,0.14635,1.04415
4200,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,168,1,0.21,0.13078,1.0808
5000,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,200,1,0.22,0.1192,0.99631
5900,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,236,1,0.19,0.10911,1.10819
6700,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,268,0.992,0.28,0.10122,1.01747
400,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,8,0.68,0.31,0.53797,0.7702
800,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,16,0.848,0.36,0.3393,0.73316
1300,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,26,0.904,0.37,0.25422,0.71649
1700,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,34,0.952,0.42,0.21625,0.68125
2500,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,50,0.968,0.45,0.17301,0.67443
3400,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,68,1,0.44,0.14723,0.66006
4200,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,84,1,0.31,0.12926,0.66996
5000,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,100,1,0.4,0.11748,0.60862
5900,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,118,1,0.42,0.1083,0.62341
6700,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,134,1,0.45,0.10224,0.65409
400,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,4,0.608,0.47,0.58279,0.64684
800,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,8,0.832,0.54,0.3441,0.50336
1300,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,13,0.92,0.63,0.25682,0.4865
1700,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,17,0.96,0.66,0.21697,0.45401
2500,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,25,0.968,0.6,0.17538,0.44829
3400,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,34,0.984,0.72,0.14699,0.45098
4200,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,42,1,0.6,0.13072,0.44439
5000,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,50,1,0.68,0.11937,0.43909
5900,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,59,1,0.71,0.10861,0.42524
6700,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,67,1,0.67,0.1022,0.42721
400,25,0.5,2.73,2,0.25,0.01,0.0125,25,16,0.76,0.28,0.57949,1.29517
800,25,0.5,2.73,2,0.25,0.01,0.0125,25,32,0.896,0.3,0.36183,1.05373
1300,25,0.5,2.73,2,0.25,0.01,0.0125,25,52,0.936,0.37,0.26392,1.03416
1700,25,0.5,2.73,2,0.25,0.01,0.0125,25,68,0.976,0.28,0.23192,1.05638
2500,25,0.5,2.73,2,0.25,0.01,0.0125,25,100,1,0.22,0.18526,1.13905
3400,25,0.5,2.73,2,0.25,0.01,0.0125,25,136,1,0.35,0.15716,1.02929
4200,25,0.5,2.73,2,0.25,0.01,0.0125,25,168,1,0.45,0.13984,0.99566
5000,25,0.5,2.73,2,0.25,0.01,0.0125,25,200,1,0.34,0.12653,1.01963
5900,25,0.5,2.73,2,0.25,0.01,0.0125,25,236,1,0.36,0.11591,0.991
6700,25,0.5,2.73,2,0.25,0.01,0.0125,25,268,1,0.25,0.10975,1.09815
400,50,0.5,2.73,2,0.25,0.01,0.0125,25,8,0.84,0.35,0.58088,0.85991
800,50,0.5,2.73,2,0.25,0.01,0.0125,25,16,0.904,0.5,0.37173,0.74508
1300,50,0.5,2.73,2,0.25,0.01,0.0125,25,26,0.944,0.5,0.27476,0.72785
1700,50,0.5,2.73,2,0.25,0.01,0.0125,25,34,0.944,0.48,0.2328,0.70796
2500,50,0.5,2.73,2,0.25,0.01,0.0125,25,50,0.984,0.55,0.18735,0.70153
3400,50,0.5,2.73,2,0.25,0.01,0.0125,25,68,1,0.58,0.15817,0.67449
4200,50,0.5,2.73,2,0.25,0.01,0.0125,25,84,1,0.61,0.14021,0.6484
5000,50,0.5,2.73,2,0.25,0.01,0.0125,25,100,1,0.55,0.12731,0.66644
5900,50,0.5,2.73,2,0.25,0.01,0.0125,25,118,1,0.55,0.1176,0.66554
6700,50,0.5,2.73,2,0.25,0.01,0.0125,25,134,1,0.58,0.10817,0.63517
400,100,0.5,2.73,2,0.25,0.01,0.0125,25,4,0.792,0.62,0.62071,0.65642
800,100,0.5,2.73,2,0.25,0.01,0.0125,25,8,0.856,0.76,0.37921,0.53588
1300,100,0.5,2.73,2,0.25,0.01,0.0125,25,13,0.936,0.82,0.27791,0.47867
1700,100,0.5,2.73,2,0.25,0.01,0.0125,25,17,0.968,0.8,0.23404,0.45584
2500,100,0.5,2.73,2,0.25,0.01,0.0125,25,25,0.984,0.8,0.19105,0.46833
3400,100,0.5,2.73,2,0.25,0.01,0.0125,25,34,1,0.87,0.16026,0.44955
4200,100,0.5,2.73,2,0.25,0.01,0.0125,25,42,1,0.9,0.1403,0.4479
5000,100,0.5,2.73,2,0.25,0.01,0.0125,25,50,1,0.91,0.12795,0.43081
5900,100,0.5,2.73,2,0.25,0.01,0.0125,25,59,1,0.86,0.11681,0.41931
6700,100,0.5,2.73,2,0.25,0.01,0.0125,25,67,1,0.84,0.10947,0.43834
